"x","y"
-84.8428497314,41.7380981445
-87.613064,39.101306
-86.8994893534,40.4162445478
-87.43442,39.93208
-96.796699095,37.8855551201
-96.584759,38.36831
-95.69203,38.22544
-96.8877582,37.3522597
-97.018118,37.219735
-95.359268,38.91775
-97.95952,38.60954
-96.905594,39.134321
-95.425252,39.1138886
-94.97394,38.98473
-96.203456,38.379126
-97.085024,38.3689029
-98.31505,39.48472
-96.556091,38.675057
-95.6375,38.5069
-96.136465,39.266085
-97.8120437805,37.7374894374
-98.57757,38.94686
-95.62878,39.01438
-97.52718,37.209277
-99.75654,38.77198
-96.19635,38.86719
-94.644132,39.1521029
-82.614730835,38.4711647034
-84.02359,38.77171
-84.3705,39.03887
-82.7292,37.7361
-84.8849639893,38.3411331177
-82.8585968018,38.649471283
-83.00902,38.72698
-84.6066436768,37.7543983459
-83.5888366699,38.6831932068
-88.2077636719,36.9971809387
-87.128456,37.4792137
-82.40745,37.43514
-87.9683227539,36.7353515625
-84.833293,36.954967
-90.9967,30.09713
-91.1993942261,29.8606548309
-91.803818,30.944636
-92.8873077583,29.9707975007
-91.6625,31.0626
-91.1261901855,30.2700996399
-90.1138839722,29.9067649841
-90.87509,29.814651
-90.9008331299,32.3272514343
-89.32091,29.25324
-89.910049,29.624206
-91.352523,30.71935
-92.29489,31.18816
-90.4740524292,30.0047588348
-91.862869,30.496462
-91.5398406982,29.8299274445
-76.4254,39.31703
-75.98865,39.49605
-75.99038,39.51176
-76.14747,39.62635
-83.805229187,44.5674743652
-83.3306574854,44.5339934273
-82.78,44.76
-86.84969,46.39147
-85.5970142107,42.7506127142
-86.1292480555,42.581112966
-86.24996,42.48129
-87,42.73
-83.502478,45.093068
-83.41745,45.0573
-82.98,45.14
-85.3815495895,44.9347670329
-85.1982803345,45.1070327759
-83.6870803833,44.0482025146
-83.854598999,43.9729690552
-86.0635070801,44.7339782715
-86.72,44.74
-86.505661,42.104336
-85.0273590088,42.0030174255
-84.7881774902,42.3876037598
-85.8817293964,42.0479890543
-85.80212,45.668069
-84.26,45.46
-84.6580810547,45.468662262
-84.6992935026,45.5812742326
-84.46628,45.65451
-85.041739,46.183344
-84.952577,46.7694683
-83.80727,45.99708
-84.75366,44.07028
-85.016666,43.8472222
-84.80531,43.8694
-84.7860280536,44.6500025459
-87.21979,45.96814
-87.033,45.49
-86.77441,45.8113
-88.0320033877,45.837672402
-83.6401290894,43.0923042297
-83.7139663696,42.8341407776
-83.4594,43.115
-84.483064,43.8830798
-84.3406677246,44.050617218
-85.517921,44.665845
-82.6431819172,43.8422727135
-83.4243087769,43.9174156189
-84.400177002,42.7594490051
-85.2092971802,42.8615188599
-83.4393986783,44.4358873115
-88.50587,46.05694
-88.387649,46.099424
-84.41314,42.18641
-85.3570785522,43.2656364441
-85.6099395752,43.0295944214
-88.04,47.86
-88.546715,48.10766
-89.158698,47.912178
-85.6096420288,45.1288146973
-86.0820617676,45.0186729431
-84.2933197021,41.9911270142
-83.8619,42.4425
-85.5327501874,46.3068351382
-83.09,42.7247
-86.2354736328,44.4836196899
-85.9145736694,44.2534141541
-87.4556627705,46.6084694524
-86.32508,43.9833389
-86.77,44.09
-87.608371,45.098639
-87.7931,45.5072
-85.246712,44.3222312
-84.9320353357,43.2620863247
-86.2928,43.2478
-87,43.13
-86.5313,43.5083
-89.3268,46.8764
-82.5392,43.4361
-86.0286483765,45.9816932678
-91.939087,44.329988
-94.115,45.2997
-93.80464,46.33455
-96.05833,46.76722
-95.821381,46.793478
-95.39676,46.86829
-94.20333,45.62033
-93.54634,44.89068
-94.54072,47.40766
-94.347153,46.442589
-94.19821,47.44071
-95.98015,45.09791
-96.79533,46.67357
-94.11496,46.69269
-93.9525,46.7494
-92.87172,44.75579
-95.42119,45.82109
-95.30751,46.06126
-95.51847,45.79282
-92.2730178833,44.4686317444
-92.32739,44.53095
-93.4289,44.8783
-91.250776,43.758229
-94.02863,47.64776
-94.907455,45.251688
-95.055847,45.2530196
-97.15211,48.59634
-91.07578,47.60636
-91.6541366577,47.006778717
-94.61727,46.21299
-95.66278,46.40316
-96.1821,46.2149
-97.05539,47.94788
-93.118555,45.1005216
-92.45657,47.48215
-92.070114,46.7431716
-94.78815,45.75114
-92.9311,45.2625
-96.59596,46.2885
-92.834128,38.0204231
-92.241205,38.4022449
-94.274252,38.9353547
-90.3729400635,38.4534606934
-91.75674,38.685577
-94.05604,38.01542
-93.123909,36.6590237
-91.421062,31.557984
-89.153379028,30.2769924904
-97.14025,48.19491
-95.86872,41.01503
-97.08181,42.76129
-96.9431,42.71488
-96.173801,41.220502
-97.6378,42.84181
-95.84831,40.69127
-95.42112,40.04981
-96.07814,41.52063
-73.916016,41.17762
-73.68889,42.74666
-73.7890472412,42.478717804
-74.042073,42.650355
-75.9960708618,42.1134719849
-76.67416,43.06416
-76.52704,42.89907
-76.4800720215,43.1295433044
-76.4907,42.7802
-79.42635,42.20186
-73.34917,44.99916
-73.9410629272,41.8789405823
-73.41534,44.12656
-73.41106,43.95377
-74.7833633423,43.0146026611
-75.1013793945,43.3054885864
-76.332,43.89545
-77.705871582,42.8288650513
-75.87198,42.9482
-77.6338,43.12273
-77.44,43.44
-78.82886,43.0421
-78.499367,43.372056
-75.745277,43.187023
-77.2718,42.7971
-75.02448,42.80831
-74.9613294366,42.5119602594
-74.9798286811,42.4937642086
-75.099535,42.440371
-73.74256,43.015213
-76.877,42.3864
-77.2019,42.4084
-76.1427,42.0653
-73.64994,43.55576
-73.42531,43.4823
-78.0289,42.6958
-82.37547,40.77125
-80.7746200562,41.9146003723
-81.7563095093,39.1893119812
-80.80419,39.86087
-80.71359,40.09719
-81.18678,40.13869
-80.595901,40.62454
-82.93561,40.83566
-81.876953125,41.491191864
-81.481476,41.381446
-84.3579008402,41.2771300376
-82.9671859741,40.2203674316
-83.0692,40.3586
-82.7233123779,41.4680023193
-82.9077195913,39.8790640306
-83.054152,39.970608
-82.107391,38.947809
-83.564929,41.00838
-82.42175,41.07054
-81.40479,41.68291
-83.70373,41.530388
-80.98111,41.08101
-81.77651,38.9821
-82.04506,39.00743
-81.00452,39.56623
-83.1359116754,41.3259184214
-81.527895,40.995056
-83.9861,39.5366
-84.00958,39.51685
-81.4731259273,39.4281878066
-83.3785476685,40.7028884888
-96.69342,33.908035
-97.070045,34.07072
-95.0239872176,36.5114542242
-95.374727,35.2911969
-96.8295602894,36.7636401031
-97.026982,36.7217034
-95.0292117763,36.4868945252
-95.534725,35.3347402
-95.15309,35.543617
-97.18255,36.16506
-97.59517,35.55195
-96.46677,36.73723
-96.1037881744,36.3371918934
-95.6673953742,36.4414896924
-95.574193129,36.5183712637
-94.77156,35.35775
-79.9148561465,40.4902384668
-80.2061462402,40.5488319397
-79.530458,40.819136
-79.482,40.9439
-79.8388947552,41.8133134313
-80.3022,41.6052
-80.082748,42.157612
-79.8,42.42
-79.92014,39.78694
-76.1351,41.09532
-80.109047781,41.345071092
-75.3554992676,40.6848526001
-76.84531,40.80373
-75.7057,41.9569
-77.16405,41.98377
-79.790846367,41.3671331662
-79.1332791371,41.9631908857
-87.95,35.9167
-84.09362,36.22587
-86.774810791,36.1640586853
-87.2229461,36.31979751
-89.605552,36.117745
-83.28667,36.26594
-85.2276992798,35.1049575806
-88.2835998535,35.2178039551
-87.9899749756,36.0218544006
-88.020652771,35.9773292542
-83.8501205444,35.958366394
-84.2325363159,35.7841529846
-85.547866,35.025135
-84.7833023071,35.6224822998
-90.1788330078,35.0926055908
-95.03154,30.62808
-97.47826,31.10939
-97.57244,31.17543
-96.52711,33.04166
-96.4788,33.23308
-96.88671,32.84804
-97.04233,33.30693
-97.219391,31.570345
-96.482755,32.875928
-97.50182,32.87289
-97.41834,32.7916
-97.853165,33.219877
-95.52917,32.81378
-111.21572,39.6032972
-77.702286,38.821621
-73.1738,45.0133
-89.8445813777,44.2107633482
-89.9561,43.86556
-90.02028,44.0575
-90.8926696777,46.5970077515
-88.0044,44.54
-88.0636291504,44.4473762512
-87.93045,44.616867
-92.0361,45.9197
-89.583206,43.380224
-89.017067,42.863131
-89.4026,43.15007
-88.90236,43.52055
-87.20399,44.9374964
-91.8576,46.6907
-88.20671,43.59873
-88.9041600246,45.5393134111
-89.0000489692,43.8119425963
-88.544312,43.041042
-88.9581,42.8742
-88.3029,42.5352959
-87.9438092771,42.552582681
-87.4975662231,44.4581375122
-87.9372618044,43.9261284861
-87.6499499871,44.0949245189
-88.26073,45.35663
-88.5576,44.89999
-87.9068145752,43.0298080444
-87.247,43.3514
-87.42,42.73
-91.0887145996,45.4797897339
-88.2614028931,43.3839262932
-89.106,44.28547
-88.878486,44.266225
-80.1120452881,39.0546264648
-81.3084793091,38.1760444641
-81.5665435791,38.2510032654
-80.010017395,39.5822410583
